,Total Yards,Made,Quarter,Time,Down,Kicker id,Kicker Name,Kicking Team,Weather_Condition,Humidity,Temperature,Wind,Stadium,Grass Type,Stadium Type
0,37,0,1,06:48,4,00-0020962,R.Bironas,TEN,Mostly Cloudy,55,67,,Heinz Field,Desso Grassmaster,Open
1,45,1,4,11:08,4,00-0020962,R.Bironas,TEN,Mostly Cloudy,55,67,,Heinz Field,Desso Grassmaster,Open
2,32,1,4,03:00,4,00-0020737,J.Reed,PIT,Mostly Cloudy,55,67,,Heinz Field,Desso Grassmaster,Open
3,33,1,5,10:34,1,00-0020737,J.Reed,PIT,Mostly Cloudy,55,67,,Heinz Field,Desso Grassmaster,Open
4,42,0,1,09:31,4,00-0004811,J.Elam,ATL,Overcast,69,75,,Georgia Dome,Fieldturf,Dome
5,36,1,2,00:36,4,00-0004811,J.Elam,ATL,Overcast,69,75,,Georgia Dome,Fieldturf,Dome
6,38,0,4,12:25,4,00-0004811,J.Elam,ATL,Overcast,69,75,,Georgia Dome,Fieldturf,Dome
7,50,1,4,07:38,4,00-0004811,J.Elam,ATL,Overcast,69,75,,Georgia Dome,Fieldturf,Dome
8,44,1,1,10:23,4,00-0025944,S.Hauschka,BAL,Mostly Cloudy,85,68,,M&T Bank Stadium,419 Tifway Bermuda Grass,Open
9,41,0,2,03:54,4,00-0025944,S.Hauschka,BAL,Mostly Cloudy,85,68,,M&T Bank Stadium,419 Tifway Bermuda Grass,Open
10,53,1,4,12:02,4,00-0026968,R.Succop,KC,Mostly Cloudy,85,68,,M&T Bank Stadium,419 Tifway Bermuda Grass,Open
11,49,1,1,00:53,4,00-0000108,D.Akers,PHI,Mostly Cloudy,54,77,,Bank of America Stadium,Grass,Open
12,22,1,2,01:45,4,00-0009028,J.Kasay,CAR,Mostly Cloudy,54,77,,Bank of America Stadium,Grass,Open
13,48,1,2,00:04,3,00-0023853,M.Prater,DEN,Fair,55,71,,Paul Brown Stadium,-,Open
14,50,1,3,00:19,4,00-0023853,M.Prater,DEN,Fair,55,71,,Paul Brown Stadium,-,Open
15,37,1,1,11:33,4,00-0004091,P.Dawson,CLE,Fair,66,70,,FirstEnergy Stadium,Kentucky Bluegrass,Open
16,21,1,1,00:06,4,00-0010072,R.Longwell,MIN,Fair,66,70,,FirstEnergy Stadium,Kentucky Bluegrass,Open
17,20,1,2,06:00,4,00-0004091,P.Dawson,CLE,Fair,66,70,,FirstEnergy Stadium,Kentucky Bluegrass,Open
18,37,1,4,06:59,4,00-0010072,R.Longwell,MIN,Fair,66,70,,FirstEnergy Stadium,Kentucky Bluegrass,Open
19,24,1,1,00:12,4,00-0019770,J.Feely,NYJ,Mostly Cloudy,72,82,,NRG Stadium,Grass,Open
20,47,1,1,05:18,4,00-0006800,J.Hanson,DET,Light Rain,75,86,,Mercedes-Benz Superdome,Fieldturf,Dome
21,39,1,3,06:15,4,00-0002655,J.Carney,NO,Light Rain,75,86,,Mercedes-Benz Superdome,Fieldturf,Dome
22,24,1,3,03:26,4,00-0006800,J.Hanson,DET,Light Rain,75,86,,Mercedes-Benz Superdome,Fieldturf,Dome
23,51,1,1,09:42,4,00-0025565,N.Folk,DAL,Mostly Cloudy,80,85,,Raymond James Stadium,Grass,Open
24,22,1,1,01:27,4,00-0025565,N.Folk,DAL,Mostly Cloudy,80,85,,Raymond James Stadium,Grass,Open
25,46,0,2,00:02,2,00-0023482,M.Nugent,TB,Mostly Cloudy,80,85,,Raymond James Stadium,Grass,Open
26,37,1,1,05:34,4,00-0011970,J.Nedney,SF,A Few Clouds,27,97,,State Farm Stadium,Grass,Dome
27,50,1,1,01:28,4,00-0011970,J.Nedney,SF,A Few Clouds,27,97,,State Farm Stadium,Grass,Dome
28,44,1,2,14:08,4,00-0019676,N.Rackers,ARI,A Few Clouds,27,97,,State Farm Stadium,Grass,Dome
29,29,1,2,00:05,2,00-0019676,N.Rackers,ARI,A Few Clouds,27,97,,State Farm Stadium,Grass,Dome
30,43,1,4,14:57,4,00-0019676,N.Rackers,ARI,A Few Clouds,27,97,,State Farm Stadium,Grass,Dome
31,28,1,1,07:45,4,00-0019778,L.Tynes,NYG,Fair,42,80,,MetLife Stadium,Fieldturf,Open
32,27,1,3,00:56,4,00-0023001,S.Suisham,WAS,Fair,42,80,,MetLife Stadium,Fieldturf,Open
33,45,1,4,11:08,4,00-0019778,L.Tynes,NYG,Fair,42,80,,MetLife Stadium,Fieldturf,Open
34,28,1,4,03:22,4,00-0019778,L.Tynes,NYG,Fair,42,80,,MetLife Stadium,Fieldturf,Open
35,37,0,2,12:05,4,00-0021940,Josh.Brown,STL,Fair,54,74,,CenturyLink Field,Fieldturf,Open
36,49,0,1,11:44,4,00-0025580,M.Crosby,GB,Mostly Cloudy,47,80,,Lambeau Field,Desso GrassMaster,Open
37,52,1,2,08:22,4,00-0025580,M.Crosby,GB,Mostly Cloudy,47,80,,Lambeau Field,Desso GrassMaster,Open
38,47,1,3,03:55,4,00-0023252,R.Gould,CHI,Mostly Cloudy,47,80,,Lambeau Field,Desso GrassMaster,Open
39,39,1,4,10:14,4,00-0025580,M.Crosby,GB,Mostly Cloudy,47,80,,Lambeau Field,Desso GrassMaster,Open
40,21,1,4,02:38,4,00-0023252,R.Gould,CHI,Mostly Cloudy,47,80,,Lambeau Field,Desso GrassMaster,Open
41,41,0,1,06:22,4,00-0024333,S.Gostkowski,NE,Fair,43,73,,Gillette Stadium,Fieldturf,Open
42,20,1,2,00:05,4,00-0024333,S.Gostkowski,NE,Fair,43,73,,Gillette Stadium,Fieldturf,Open
43,40,1,3,02:37,4,00-0019310,R.Lindell,BUF,Fair,43,73,,Gillette Stadium,Fieldturf,Open
44,28,1,4,11:47,4,00-0024333,S.Gostkowski,NE,Fair,43,73,,Gillette Stadium,Fieldturf,Open
45,37,1,2,00:43,4,00-0019646,S.Janikowski,OAK,Partly Cloudy,73,67,,Oakland–Alameda County Coliseum,Bluegrass,Open
46,47,1,2,00:05,3,00-0022737,N.Kaeding,SD,Partly Cloudy,73,67,,Oakland–Alameda County Coliseum,Bluegrass,Open
47,35,1,4,13:42,4,00-0019646,S.Janikowski,OAK,Partly Cloudy,73,67,,Oakland–Alameda County Coliseum,Bluegrass,Open
48,38,1,1,09:53,4,00-0009028,J.Kasay,CAR,Fog/Mist,90,75,,Georgia Dome,Fieldturf,Dome
49,50,1,2,01:54,4,00-0009028,J.Kasay,CAR,Fog/Mist,90,75,,Georgia Dome,Fieldturf,Dome
50,30,1,1,05:09,4,00-0006800,J.Hanson,DET,Fair,55,68,,Ford Field,Fieldturf,Dome
51,26,1,3,08:42,4,00-0010072,R.Longwell,MIN,Fair,55,68,,Ford Field,Fieldturf,Dome
52,46,1,4,10:01,4,00-0010072,R.Longwell,MIN,Fair,55,68,,Ford Field,Fieldturf,Dome
53,48,1,4,02:42,4,00-0006800,J.Hanson,DET,Fair,55,68,,Ford Field,Fieldturf,Dome
54,55,0,2,00:03,4,00-0025580,M.Crosby,GB,Mostly Cloudy,55,68,,Lambeau Field,Desso GrassMaster,Open
55,40,1,4,02:00,4,00-0019536,S.Graham,CIN,Mostly Cloudy,55,68,,Lambeau Field,Desso GrassMaster,Open
56,45,1,4,00:49,2,00-0025580,M.Crosby,GB,Mostly Cloudy,55,68,,Lambeau Field,Desso GrassMaster,Open
57,30,1,1,04:45,4,00-0022874,J.Scobee,JAC,Mostly Cloudy,67,87,,TIAA Bank Field,419 Tifway Bermuda Grass,Open
58,45,1,1,00:03,4,00-0019676,N.Rackers,ARI,Mostly Cloudy,67,87,,TIAA Bank Field,419 Tifway Bermuda Grass,Open
59,48,0,3,10:15,4,00-0019676,N.Rackers,ARI,Mostly Cloudy,67,87,,TIAA Bank Field,419 Tifway Bermuda Grass,Open
60,23,1,1,02:03,4,00-0026968,R.Succop,KC,Overcast,71,70,,Arrowhead Stadium,Grass,Open
61,48,1,2,05:31,4,00-0019646,S.Janikowski,OAK,Overcast,71,70,,Arrowhead Stadium,Grass,Open
62,54,1,3,08:38,4,00-0019646,S.Janikowski,OAK,Overcast,71,70,,Arrowhead Stadium,Grass,Open
63,45,1,1,06:53,4,00-0024333,S.Gostkowski,NE,Fair,44,68,,MetLife Stadium,Fieldturf,Open
64,25,1,2,11:34,4,00-0024333,S.Gostkowski,NE,Fair,44,68,,MetLife Stadium,Fieldturf,Open
65,33,1,2,06:04,4,00-0019770,J.Feely,NYJ,Fair,44,68,,MetLife Stadium,Fieldturf,Open
66,29,1,2,00:21,4,00-0024333,S.Gostkowski,NE,Fair,44,68,,MetLife Stadium,Fieldturf,Open
67,24,1,3,08:26,4,00-0019770,J.Feely,NYJ,Fair,44,68,,MetLife Stadium,Fieldturf,Open
68,39,1,4,09:54,4,00-0019770,J.Feely,NYJ,Fair,44,68,,MetLife Stadium,Fieldturf,Open
69,23,1,1,01:59,4,00-0002655,J.Carney,NO,A Few Clouds,42,69,,Lincoln Financial Field,Desso GrassMaster,Open
70,23,1,2,02:42,4,00-0000108,D.Akers,PHI,A Few Clouds,42,69,,Lincoln Financial Field,Desso GrassMaster,Open
71,32,1,2,00:03,2,00-0000108,D.Akers,PHI,A Few Clouds,42,69,,Lincoln Financial Field,Desso GrassMaster,Open
72,25,1,3,04:14,4,00-0002655,J.Carney,NO,A Few Clouds,42,69,,Lincoln Financial Field,Desso GrassMaster,Open
73,38,1,2,02:18,4,00-0001980,K.Brown,HOU,Overcast,82,76,,Nissan Stadium,419 Tifway Bermuda Grass,Open
74,40,1,2,00:07,2,00-0020962,R.Bironas,TEN,Overcast,82,76,,Nissan Stadium,419 Tifway Bermuda Grass,Open
75,23,1,4,02:58,4,00-0001980,K.Brown,HOU,Overcast,82,76,,Nissan Stadium,419 Tifway Bermuda Grass,Open
76,21,1,1,05:01,4,00-0023001,S.Suisham,WAS,Fair,59,68,,FedExField,Grass,Open
77,28,1,2,08:02,4,00-0023001,S.Suisham,WAS,Fair,59,68,,FedExField,Grass,Open
78,23,1,3,06:32,4,00-0023001,S.Suisham,WAS,Fair,59,68,,FedExField,Grass,Open
79,31,1,1,00:13,4,00-0019310,R.Lindell,BUF,Partly Cloudy,32,75,,New Era Field,A-Turf Titan,Open
80,43,1,2,09:55,4,00-0019310,R.Lindell,BUF,Partly Cloudy,32,75,,New Era Field,A-Turf Titan,Open
